warn: LLAMA_ARG_HOST environment variable is set, but will be overwritten by command line argument --host
0.00.315.580 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.315.702 I srv          init: The UI is disabled
0.00.315.709 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.315.803 W srv  llama_server: -----------------
0.00.315.811 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.315.812 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.315.812 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.315.813 W srv  llama_server: -----------------
2.04.103.784 I srv    load_model: loading model 'LiquidAI/LFM2.5-2.6B-GGUF:Q4_K_M'
2.05.634.653 I cmn          init: llama threadpool init, n_threads = 4
2.05.813.480 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 4096, kv_unified = 'false'
2.05.819.668 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
2.05.819.772 I srv  llama_server: model loaded
2.05.819.866 I srv  llama_server: listening on http://127.0.0.1:8080
2.05.819.918 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
2.05.819.983 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
2.07.373.509 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
2.07.373.568 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
2.19.027.620 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =    416, progress = 0.99, t =  11.65 s / 35.70 tokens per second
2.24.304.234 I slot print_timing: id  0 | task 0 | n_gen =    100, tg =  19.32 t/s, tg_3s =  19.52 t/s
2.25.994.976 I slot print_timing: id  0 | task 0 | prompt eval time =   11807.41 ms /   420 tokens (   28.11 ms per token,    35.57 tokens per second)
2.25.994.989 I slot print_timing: id  0 | task 0 |        eval time =    6813.95 ms /   132 tokens (   52.01 ms per token,    19.23 tokens per second)
2.25.994.991 I slot print_timing: id  0 | task 0 |       total time =   18621.37 ms /   552 tokens
2.25.994.999 I slot print_timing: id  0 | task 0 |    graphs reused =        130
2.25.995.479 I slot      release: id  0 | task 0 | stop processing: n_tokens = 551, truncated = 0
2.26.107.641 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.410 (> 0.100 thold), f_keep = 0.760
2.26.107.700 I slot launch_slot_: id  0 | task 134 | processing task, is_child = 0
2.44.032.365 I slot print_timing: id  0 | task 134 | prompt processing, n_tokens =    601, progress = 1.00, t =  17.92 s / 33.53 tokens per second
2.49.830.540 I slot print_timing: id  0 | task 134 | n_gen =    100, tg =  17.57 t/s, tg_3s =  17.75 t/s
2.52.851.464 I slot print_timing: id  0 | task 134 | n_gen =    154, tg =  17.68 t/s, tg_3s =  17.88 t/s
2.53.693.408 I slot print_timing: id  0 | task 134 | prompt eval time =   18089.73 ms /   605 tokens (   29.90 ms per token,    33.44 tokens per second)
2.53.693.734 I slot print_timing: id  0 | task 134 |        eval time =    9495.95 ms /   169 tokens (   56.52 ms per token,    17.69 tokens per second)
2.53.693.981 I slot print_timing: id  0 | task 134 |       total time =   27585.68 ms /   774 tokens
2.53.694.194 I slot print_timing: id  0 | task 134 |    graphs reused =        296
2.53.695.842 I slot      release: id  0 | task 134 | stop processing: n_tokens = 1189, truncated = 0
2.53.849.518 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.744 (> 0.100 thold), f_keep = 0.858
2.53.849.569 I slot launch_slot_: id  0 | task 306 | processing task, is_child = 0
3.05.159.648 I slot print_timing: id  0 | task 306 | prompt processing, n_tokens =    350, progress = 1.00, t =  11.31 s / 30.95 tokens per second
3.11.033.388 I slot print_timing: id  0 | task 306 | n_gen =    100, tg =  17.37 t/s, tg_3s =  17.54 t/s
3.14.040.915 I slot print_timing: id  0 | task 306 | n_gen =    152, tg =  17.34 t/s, tg_3s =  17.29 t/s
3.15.789.160 I slot print_timing: id  0 | task 306 | prompt eval time =   11482.73 ms /   354 tokens (   32.44 ms per token,    30.83 tokens per second)
3.15.789.169 I slot print_timing: id  0 | task 306 |        eval time =   10456.83 ms /   182 tokens (   57.77 ms per token,    17.31 tokens per second)
3.15.789.170 I slot print_timing: id  0 | task 306 |       total time =   21939.56 ms /   536 tokens
3.15.789.171 I slot print_timing: id  0 | task 306 |    graphs reused =        475
3.15.789.320 I slot      release: id  0 | task 306 | stop processing: n_tokens = 1552, truncated = 0
3.15.902.367 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.850 (> 0.100 thold), f_keep = 0.883
3.15.902.425 I slot launch_slot_: id  0 | task 490 | processing task, is_child = 0
3.23.927.418 I slot print_timing: id  0 | task 490 | prompt processing, n_tokens =    241, progress = 1.00, t =   8.02 s / 30.03 tokens per second
3.30.214.998 I slot print_timing: id  0 | task 490 | n_gen =    100, tg =  16.21 t/s, tg_3s =  16.37 t/s
3.33.234.465 I slot print_timing: id  0 | task 490 | n_gen =    148, tg =  16.10 t/s, tg_3s =  15.90 t/s
3.33.675.249 I slot print_timing: id  0 | task 490 | prompt eval time =    8203.98 ms /   245 tokens (   33.49 ms per token,    29.86 tokens per second)
3.33.675.301 I slot print_timing: id  0 | task 490 |        eval time =    9568.81 ms /   155 tokens (   62.14 ms per token,    16.09 tokens per second)
3.33.675.322 I slot print_timing: id  0 | task 490 |       total time =   17772.79 ms /   400 tokens
3.33.675.343 I slot print_timing: id  0 | task 490 |    graphs reused =        628
3.33.675.638 I slot      release: id  0 | task 490 | stop processing: n_tokens = 1766, truncated = 0
3.33.790.857 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.822 (> 0.100 thold), f_keep = 0.912
